dataset,subject_id,canonical_finger_position,harrisz_descriptors_a,harrisz_descriptors_b,sift_descriptors_a,sift_descriptors_b,harrisz_mutual_matches,sift_mutual_matches,harrisz_ransac_inputs,sift_ransac_inputs,harrisz_inliers,sift_inliers
sd300b,00001015,1,3000,3000,3000,3000,3,6,3,6,2,2
sd300b,00001015,2,3000,3000,3000,3000,2,1,2,1,0,0
sd300b,00001015,3,3000,3000,3000,3000,6,11,6,11,2,6
sd300b,00001015,4,3000,3000,3000,3000,3,10,3,10,2,4
sd300b,00001015,5,3000,3000,2350,3000,7,16,7,16,2,9
sd300b,00001015,6,3000,3000,3000,3000,3,7,3,7,2,4
sd300b,00001015,7,3000,3000,3000,3000,2,10,2,10,0,4
sd300b,00001015,8,3000,3000,3000,3001,3,1,3,1,2,0
sd300b,00001015,9,3000,3000,3000,3000,5,4,5,4,2,2
sd300b,00001015,10,3000,3000,3000,3000,4,6,4,6,2,2
sd300b,00001016,1,3000,3000,3000,3000,13,52,13,52,3,12
sd300b,00001016,2,3000,3000,3000,3001,13,79,13,79,4,35
sd300b,00001016,3,3000,3000,3000,3000,19,83,19,83,5,35
sd300b,00001016,4,3000,3000,3001,3001,13,64,13,64,2,23
sd300b,00001016,5,3000,3000,3000,3000,9,43,9,43,2,21
sd300b,00001016,6,3000,3000,3000,3000,20,67,20,67,5,18
sd300b,00001016,7,3000,3000,3001,3000,17,118,17,118,8,50
sd300b,00001016,8,3000,3000,3000,3000,8,16,8,16,2,6
sd300b,00001016,9,3000,3000,3000,3000,12,66,12,66,8,40
sd300b,00001016,10,3000,3000,3000,3000,7,22,7,22,3,6
sd300b,00001017,1,3000,3000,3001,3000,5,17,5,17,2,8
sd300b,00001017,2,3000,3000,3000,3000,0,6,0,6,0,3
sd300b,00001017,3,3000,3000,3000,3000,5,18,5,18,2,12
sd300b,00001017,4,3000,3000,3000,3001,3,17,3,17,2,8
sd300b,00001017,5,3000,3000,2465,3000,0,3,0,3,0,2
sd300b,00001017,6,3000,3000,3000,3001,4,19,4,19,2,10
sd300b,00001017,7,3000,3000,3001,3000,5,28,5,28,3,10
sd300b,00001017,8,3000,3000,3000,3001,11,29,11,29,2,15
sd300b,00001017,9,3000,3000,3000,3000,4,7,4,7,2,4
sd300b,00001017,10,3000,3000,2948,3000,2,4,2,4,0,2
sd300b,00001018,1,3000,3000,3000,3001,6,2,6,2,2,0
sd300b,00001018,2,3000,3000,3000,3000,2,4,2,4,0,2
sd300b,00001018,3,3000,3000,3000,3001,10,4,10,4,3,2
sd300b,00001018,4,3000,3000,3001,3000,4,6,4,6,2,3
sd300b,00001018,5,3000,3000,3000,3000,4,3,4,3,2,2
sd300b,00001018,6,3000,3000,3000,3000,3,4,3,4,2,2
sd300b,00001018,7,3000,3000,3000,3000,2,6,2,6,0,3
sd300b,00001018,8,3000,3000,3000,3001,2,1,2,1,0,0
sd300b,00001018,9,3000,3000,3000,3001,5,5,5,5,2,2
sd300b,00001018,10,3000,3000,2055,3000,4,1,4,1,2,0
sd300b,00001019,1,3000,3000,929,3001,6,4,6,4,2,2
sd300b,00001019,2,3000,3000,926,3000,6,8,6,8,2,5
sd300b,00001019,3,3000,3000,1754,3000,4,1,4,1,2,0
sd300b,00001019,4,3000,3000,634,3000,3,3,3,3,2,2
sd300b,00001019,6,3000,3000,3000,3000,3,6,3,6,2,2
sd300b,00001019,8,3000,3000,2315,3000,6,4,6,4,3,3
sd300b,00001019,9,3000,3000,1131,3000,2,1,2,1,0,0
sd300b,00001020,1,3000,3000,3000,3001,7,64,7,64,2,34
sd300b,00001020,2,3000,3000,3000,3000,12,8,12,8,3,4
sd300b,00001020,3,3000,3000,3000,3001,5,13,5,13,3,8
sd300b,00001020,4,3000,3000,3000,3000,3,11,3,11,2,5
sd300b,00001020,5,3000,3000,2508,3001,4,1,4,1,2,0
sd300b,00001020,6,3000,3000,3000,3000,14,30,14,30,3,13
sd300b,00001020,7,3000,3000,3000,3000,4,8,4,8,2,2
sd300b,00001020,8,3000,3000,3000,3000,24,31,24,31,3,16
sd300b,00001020,9,3000,3000,3000,3001,6,7,6,7,2,4
sd300b,00001020,10,3000,3000,2328,3000,2,3,2,3,0,2
sd300b,00001021,1,3000,3000,3000,3000,6,14,6,14,2,5
sd300b,00001021,2,3000,3000,3000,3000,5,5,5,5,2,4
sd300b,00001021,3,3000,3000,3000,3000,4,0,4,0,2,0
sd300b,00001021,4,3000,3000,2530,3001,2,4,2,4,0,2
sd300b,00001021,6,3000,3000,3000,3000,7,7,7,7,2,3
sd300b,00001021,7,3000,3000,1040,3001,3,7,3,7,2,4
sd300b,00001021,8,3000,3000,2710,3000,6,5,6,5,2,4
sd300b,00001021,9,3000,3000,2129,3001,4,8,4,8,2,4
sd300b,00001021,10,3000,3000,1376,3000,8,5,8,5,2,3
sd300b,00001022,1,3000,3000,3000,3000,3,6,3,6,2,2
sd300b,00001022,2,3000,3000,2823,3000,3,4,3,4,2,3
sd300b,00001022,3,3000,3000,2194,3000,1,1,1,1,0,0
sd300b,00001022,4,3000,3000,685,3001,0,1,0,1,0,0
sd300b,00001022,5,3000,3000,419,3001,4,2,4,2,2,0
sd300b,00001022,6,3000,3000,3000,3000,2,3,2,3,0,2
sd300b,00001022,7,3000,3000,1963,3000,1,3,1,3,0,3
sd300b,00001022,8,3000,3000,3000,3001,1,0,1,0,0,0
sd300b,00001022,9,3000,3000,1923,3001,1,2,1,2,0,0
sd300b,00001022,10,3000,3000,1183,3000,0,1,0,1,0,0
