dataset,class,metric,unit,available,source,notes,count,mean,median,p5,p25,p75,p95,zero_count,minimum,maximum
sd300b,roll_self,pre_cap_proxy_scale_2_b,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,6219.274,6266.5,4473.2,5452.25,6949.25,7911.699999999999,0,3348.0,9496.0
sd300b,roll_self,final_keypoints_scale_3_b,keypoints,true,counted from frozen harriszplus_scale_indices,,500,121.78,118.0,69.0,94.0,143.0,186.04999999999995,0,44.0,454.0
sd300b,roll_self,pre_cap_proxy_scale_3_b,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,3826.712,3858.0,2692.85,3359.5,4311.75,4922.399999999999,0,1513.0,5786.0
sd300b,roll_self,final_keypoints_scale_4_b,keypoints,true,counted from frozen harriszplus_scale_indices,,500,59.46,58.0,25.0,42.0,73.0,100.0,0,18.0,211.0
sd300b,roll_self,pre_cap_proxy_scale_4_b,candidates,true,candidates_after_eigen_ratio before cross-scale duplicate removal/uniform cap,,500,2038.418,2054.5,1387.8,1774.5,2297.5,2632.3499999999995,0,471.0,2972.0
sd300b,roll_self,keypoint_size_distribution_a,native_pixels_per_keypoint,true,"all keypoints, derived from frozen scale indices and size mapping",,524356,3.8156406068246667,2.8284271247461903,2.8284271247461903,2.8284271247461903,4.000000000000001,8.000000000000002,0,2.8284271247461903,8.000000000000002
sd300b,roll_self,keypoint_size_distribution_b,native_pixels_per_keypoint,true,"all keypoints, derived from frozen scale indices and size mapping",,524356,3.8156406068246667,2.8284271247461903,2.8284271247461903,2.8284271247461903,4.000000000000001,8.000000000000002,0,2.8284271247461903,8.000000000000002
sd300b,roll_self,orientation_angle_distribution,degrees,false,not present in frozen diagnostics,Angles are covered by representation_sha256 but individual angle values/histograms were not serialized.,0,,,,,,,0,,
sd300b,genuine,final_keypoints_a,keypoints,true,prepare_a_diagnostics.final_keypoint_count,,500,2996.962,3000.0,3000.0,3000.0,3000.0,3000.0,0,1980.0,3000.0
sd300b,genuine,final_keypoints_b,keypoints,true,prepare_b_diagnostics.final_keypoint_count,,500,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3000.0,3000.0
sd300b,genuine,descriptor_count_a,descriptors,true,prepare_a_diagnostics.descriptor_count,,500,2996.962,3000.0,3000.0,3000.0,3000.0,3000.0,0,1980.0,3000.0
sd300b,genuine,descriptor_count_b,descriptors,true,prepare_b_diagnostics.descriptor_count,,500,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3000.0,3000.0
sd300b,genuine,cap_active_a,boolean,true,derived from frozen cap diagnostics,,500,0.996,1.0,1.0,1.0,1.0,1.0,2,0.0,1.0
sd300b,genuine,cap_active_b,boolean,true,derived from frozen cap diagnostics,,500,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0
sd300b,genuine,cap_active_count,representations_per_pair,true,sum of side flags,,500,1.996,2.0,2.0,2.0,2.0,2.0,0,1.0,2.0
