pair_id,dataset,protocol,subject_id,canonical_finger_position,method,method_version,config_hash,manifest_sha256,raw_score,prepare_a_ms,prepare_b_ms,compare_ms,total_ms,status,error_code,error_message
sd300c_plain_roll_00001004_05,sd300c,plain_roll,00001004,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,73.7944943,89.2552,461.3647,2.8475,553.4818,ok,,
sd300c_plain_roll_00001004_06,sd300c,plain_roll,00001004,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,104.615867,311.6052,498.5458,12.4862,822.6545,ok,,
sd300c_plain_roll_00001004_07,sd300c,plain_roll,00001004,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,10.038756,82.7972,499.4851,1.3435,583.6437,ok,,
sd300c_plain_roll_00001004_08,sd300c,plain_roll,00001004,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,42.9027283,85.4637,508.343,3.6833,597.5035,ok,,
sd300c_plain_roll_00001004_09,sd300c,plain_roll,00001004,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,0,281.9112,514.2849,7.2523,803.4639,ok,,
sd300c_plain_roll_00001004_10,sd300c,plain_roll,00001004,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,1.82891004,192.0972,450.8295,1.4292,644.371,ok,,
sd300c_plain_roll_00001005_01,sd300c,plain_roll,00001005,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,0,233.966,365.0509,1.8878,600.9202,ok,,
sd300c_plain_roll_00001005_04,sd300c,plain_roll,00001005,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,167.222785,172.2191,553.4224,4.1768,729.8327,ok,,
sd300c_plain_roll_00001005_05,sd300c,plain_roll,00001005,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,132.96833,129.9598,471.6128,2.2341,603.8218,ok,,
sd300c_plain_roll_00001005_06,sd300c,plain_roll,00001005,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,139.249243,361.9465,547.8352,13.4514,923.2498,ok,,
sd300c_plain_roll_00001005_07,sd300c,plain_roll,00001005,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,57.8362797,147.7983,567.7609,4.9777,720.5542,ok,,
sd300c_plain_roll_00001005_08,sd300c,plain_roll,00001005,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,146.743908,121.014,591.8633,3.3284,716.2201,ok,,
sd300c_plain_roll_00001005_09,sd300c,plain_roll,00001005,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,5.2680827,128.8838,612.2705,7.8808,749.0494,ok,,
sd300c_plain_roll_00001005_10,sd300c,plain_roll,00001005,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,88.5485553,120.7009,488.9364,2.9435,612.5954,ok,,
sd300c_plain_roll_00001006_01,sd300c,plain_roll,00001006,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,65.4153841,255.0212,552.1671,7.754,814.9579,ok,,
sd300c_plain_roll_00001006_02,sd300c,plain_roll,00001006,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,135.333345,153.8299,492.4187,2.3297,648.5921,ok,,
sd300c_plain_roll_00001006_03,sd300c,plain_roll,00001006,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,43.4435544,128.3273,528.9764,1.7293,659.0466,ok,,
sd300c_plain_roll_00001006_04,sd300c,plain_roll,00001006,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,192.220196,133.1783,584.5228,3.7682,721.4844,ok,,
sd300c_plain_roll_00001006_05,sd300c,plain_roll,00001006,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,87.3516507,102.1363,514.9518,1.7759,618.88,ok,,
sd300c_plain_roll_00001006_06,sd300c,plain_roll,00001006,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,166.481449,269.0507,519.1982,6.4844,794.7496,ok,,
sd300c_plain_roll_00001006_07,sd300c,plain_roll,00001006,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,60.0224741,110.1819,535.1647,2.7112,648.0721,ok,,
sd300c_plain_roll_00001006_08,sd300c,plain_roll,00001006,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,33.1479344,113.4843,538.8715,2.1867,654.5573,ok,,
sd300c_plain_roll_00001006_09,sd300c,plain_roll,00001006,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,151.766015,137.5641,522.5501,4.0809,664.2108,ok,,
sd300c_plain_roll_00001006_10,sd300c,plain_roll,00001006,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,55.959342,53.1786,460.8631,1.2507,515.3113,ok,,
sd300c_plain_roll_00001007_01,sd300c,plain_roll,00001007,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,64.7856418,302.3974,551.0014,6.8537,860.2681,ok,,
sd300c_plain_roll_00001007_02,sd300c,plain_roll,00001007,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,34.2209735,139.8893,528.1102,2.2023,670.2182,ok,,
sd300c_plain_roll_00001007_03,sd300c,plain_roll,00001007,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,35.6413693,121.9401,554.7531,2.1962,678.9056,ok,,
sd300c_plain_roll_00001007_04,sd300c,plain_roll,00001007,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,46.8127048,112.4733,561.0677,2.1513,675.7073,ok,,
sd300c_plain_roll_00001007_05,sd300c,plain_roll,00001007,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,22.3192187,140.1706,592.8163,2.5221,735.5232,ok,,
sd300c_plain_roll_00001007_06,sd300c,plain_roll,00001007,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,129.609873,285.6571,537.4748,7.124,830.2715,ok,,
sd300c_plain_roll_00001007_07,sd300c,plain_roll,00001007,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,130.580383,137.8693,478.4563,4.2599,620.6004,ok,,
