dataset,protocol,pair_id,subject_id,canonical_finger_position,strata,primary_status,rerun_status,status_equal,primary_error_code,rerun_error_code,error_code_equal,primary_raw_score,rerun_raw_score,raw_score_text_equal,raw_score_abs_delta,raw_score_within_tolerance,prepare_a_diagnostics_equal,prepare_b_diagnostics_equal,compare_diagnostics_equal,primary_method_compare_ms,rerun_method_compare_ms,primary_compare_ms,rerun_compare_ms,primary_total_ms,rerun_total_ms,reproducible
sd300b,plain_self,sd300b_plain_self_00001217_10,00001217,10,low_positive_both_resolutions,ok,ok,true,,,true,16.586865026205977,16.586865026205977,true,0.0,true,true,true,true,0.0352,0.1108,0.4297,0.6781,86.3145,85.7304,true
sd300b,plain_self,sd300b_plain_self_00001232_04,00001232,4,low_positive_both_resolutions,ok,ok,true,,,true,23.165117663467225,23.165117663467225,true,0.0,true,true,true,true,0.0465,0.1299,0.4259,0.7321,85.259,86.7478,true
sd300b,plain_self,sd300b_plain_self_00001232_05,00001232,5,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0293,0.0945,0.3998,0.618,67.578,67.2205,true
sd300b,plain_self,sd300b_plain_self_00001238_09,00001238,9,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0264,0.0999,0.4303,0.7232,70.3688,68.0879,true
sd300b,plain_self,sd300b_plain_self_00001240_02,00001240,2,low_positive_both_resolutions,ok,ok,true,,,true,23.165117663467225,23.165117663467225,true,0.0,true,true,true,true,0.0448,0.1223,0.3724,0.6596,96.6642,93.4962,true
sd300b,plain_self,sd300b_plain_self_00001240_07,00001240,7,low_positive_both_resolutions,ok,ok,true,,,true,41.88229363871244,41.88229363871244,true,0.0,true,true,true,true,0.0755,0.1549,0.4692,0.7517,96.2641,97.3618,true
sd300b,plain_self,sd300b_plain_self_00001240_10,00001240,10,self_zero_sd300b_only,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0314,0.1038,0.4449,0.6574,71.7578,66.1991,true
sd300b,plain_self,sd300b_plain_self_00001247_09,00001247,9,deterministic_positive_sample,ok,ok,true,,,true,653.3238293693438,653.3238293693438,true,0.0,true,true,true,true,5.138,4.8348,5.6106,5.4225,150.3876,133.7467,true
sd300b,plain_self,sd300b_plain_self_00001255_07,00001255,7,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0269,0.1122,0.4032,0.7881,69.7193,66.8203,true
sd300b,plain_self,sd300b_plain_self_00001255_09,00001255,9,low_positive_both_resolutions,ok,ok,true,,,true,31.89454412241004,31.89454412241004,true,0.0,true,true,true,true,0.0611,0.1319,0.4322,0.8981,81.9205,82.4622,true
sd300b,plain_self,sd300b_plain_self_00001255_10,00001255,10,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0258,0.0899,0.3824,0.6031,48.5369,49.2798,true
sd300b,plain_self,sd300b_plain_self_00001259_04,00001259,4,deterministic_positive_sample,ok,ok,true,,,true,431.81331450349893,431.81331450349893,true,0.0,true,true,true,true,2.7223,2.6317,3.1425,3.123,85.6777,83.7066,true
sd300b,plain_self,sd300b_plain_self_00001262_05,00001262,5,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0254,0.087,0.4319,0.6211,82.7007,79.7171,true
sd300b,plain_self,sd300b_plain_self_00001265_05,00001265,5,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0246,0.1326,0.3918,0.7042,75.9307,89.2424,true
sd300b,plain_self,sd300b_plain_self_00001266_10,00001266,10,low_positive_both_resolutions,ok,ok,true,,,true,31.89454412241004,31.89454412241004,true,0.0,true,true,true,true,0.0594,0.2166,0.457,0.7568,76.6036,74.5963,true
sd300b,plain_self,sd300b_plain_self_00001274_10,00001274,10,low_positive_both_resolutions,ok,ok,true,,,true,23.165117663467225,23.165117663467225,true,0.0,true,true,true,true,0.0444,0.1226,0.4118,0.71,89.5046,73.3085,true
sd300b,plain_self,sd300b_plain_self_00001281_02,00001281,2,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0256,0.0851,0.4122,0.7462,82.7322,84.5362,true
sd300b,plain_self,sd300b_plain_self_00001281_03,00001281,3,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0331,0.0866,0.3872,0.6033,77.1865,79.6825,true
sd300b,plain_self,sd300b_plain_self_00001281_04,00001281,4,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0326,0.0902,0.4763,0.5864,86.6847,89.5975,true
sd300b,plain_self,sd300b_plain_self_00001281_05,00001281,5,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0253,0.0904,0.4144,0.6101,68.6936,73.9812,true
