pair_id,dataset,protocol,subject_id,canonical_finger_position,method,method_version,config_hash,manifest_sha256,raw_score,prepare_a_ms,prepare_b_ms,compare_ms,total_ms,status,error_code,error_message
sd300c_plain_self_00001006_03,sd300c,plain_self,00001006,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,338.54573,109.1003,108.0408,2.0275,219.1821,ok,,
sd300c_plain_self_00001006_04,sd300c,plain_self,00001006,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,571.714692,131.3247,129.66,4.4882,265.4874,ok,,
sd300c_plain_self_00001006_05,sd300c,plain_self,00001006,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,315.228833,100.9015,98.7684,1.826,201.5105,ok,,
sd300c_plain_self_00001006_06,sd300c,plain_self,00001006,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,792.658949,249.1326,257.6157,7.6162,514.379,ok,,
sd300c_plain_self_00001006_07,sd300c,plain_self,00001006,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,466.788659,104.9406,104.733,3.3406,213.0279,ok,,
sd300c_plain_self_00001006_08,sd300c,plain_self,00001006,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,408.496418,107.6278,108.1917,2.6681,218.5012,ok,,
sd300c_plain_self_00001006_09,sd300c,plain_self,00001006,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,618.348485,132.2906,129.2352,5.505,267.0442,ok,,
sd300c_plain_self_00001006_10,sd300c,plain_self,00001006,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,163.669008,51.5983,51.3115,0.7946,103.7173,ok,,
sd300c_plain_self_00001007_01,sd300c,plain_self,00001007,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,816.542103,290.8063,284.9858,8.433,584.2383,ok,,
sd300c_plain_self_00001007_02,sd300c,plain_self,00001007,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,396.83797,134.8014,131.2601,2.7467,268.8227,ok,,
sd300c_plain_self_00001007_03,sd300c,plain_self,00001007,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,396.83797,117.5866,118.28,2.7598,238.6409,ok,,
sd300c_plain_self_00001007_04,sd300c,plain_self,00001007,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,396.83797,115.099,108.3588,2.5999,226.0716,ok,,
