dataset,subject_id,canonical_finger_position,plain_self_status,plain_self_raw_score,roll_self_status,roll_self_raw_score,base_plain_roll_pair_id,reason_flags
sd300c,00001055,5,,,ok,1166.1001890502716,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001059,1,ok,16.586865026205977,ok,1177.9539965186484,sd300c_plain_roll_00001059_01,plain_self_below_40
sd300c,00001059,6,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001059_06,plain_self_below_40
sd300c,00001063,4,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001063_04,plain_self_below_40
sd300c,00001063,9,ok,16.586865026205977,ok,1177.9539965186484,sd300c_plain_roll_00001063_09,plain_self_below_40
sd300c,00001063,10,ok,0.0,ok,1130.5387680922524,sd300c_plain_roll_00001063_10,plain_self_below_40
sd300c,00001064,2,,,ok,1119.2589530702744,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001064,3,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001064,4,,,ok,874.8343442351886,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001081,7,ok,0.0,ok,711.6160701235136,sd300c_plain_roll_00001081_07,plain_self_below_40
sd300c,00001083,1,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001083,6,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001085,9,ok,0.0,ok,363.0241749953726,sd300c_plain_roll_00001085_09,plain_self_below_40
sd300c,00001090,1,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001090,6,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001090,10,,,ok,1119.6617550409242,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001096,7,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001096_07,plain_self_below_40
sd300c,00001111,1,ok,128.69366294359375,ok,23.165117663467225,sd300c_plain_roll_00001111_01,roll_self_below_40
sd300c,00001111,2,ok,0.0,ok,0.0,sd300c_plain_roll_00001111_02,plain_self_below_40;roll_self_below_40
sd300c,00001111,3,ok,0.0,ok,86.92861580798822,sd300c_plain_roll_00001111_03,plain_self_below_40
sd300c,00001111,4,ok,0.0,ok,175.32745590870678,sd300c_plain_roll_00001111_04,plain_self_below_40
sd300c,00001111,5,ok,0.0,ok,245.27814445193312,sd300c_plain_roll_00001111_05,plain_self_below_40
sd300c,00001111,6,ok,0.0,ok,23.165117663467225,sd300c_plain_roll_00001111_06,plain_self_below_40;roll_self_below_40
sd300c,00001111,7,ok,0.0,ok,0.0,sd300c_plain_roll_00001111_07,plain_self_below_40;roll_self_below_40
sd300c,00001111,8,ok,0.0,ok,16.586865026205977,sd300c_plain_roll_00001111_08,plain_self_below_40;roll_self_below_40
sd300c,00001111,9,ok,0.0,ok,16.586865026205977,sd300c_plain_roll_00001111_09,plain_self_below_40;roll_self_below_40
sd300c,00001111,10,ok,0.0,ok,874.8343442351886,sd300c_plain_roll_00001111_10,plain_self_below_40
sd300c,00001119,6,ok,426.34326374207757,ok,16.586865026205977,sd300c_plain_roll_00001119_06,roll_self_below_40
