dataset,subject_id,canonical_finger_position,plain_self_pair_id,roll_self_pair_id,base_plain_roll_pair_id,plain_self_decision,roll_self_decision,plain_self_status,roll_self_status,plain_self_raw_score,roll_self_raw_score,plain_self_keypoint_count_a,plain_self_keypoint_count_b,plain_self_candidate_match_count,plain_self_geometric_inlier_count,plain_self_inlier_ratio,plain_self_geometric_model_status,roll_self_keypoint_count_a,roll_self_keypoint_count_b,roll_self_candidate_match_count,roll_self_geometric_inlier_count,roll_self_inlier_ratio,roll_self_geometric_model_status,reason_flags
sd300b,00001055,5,,sd300b_roll_self_00001055_05,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001064,2,,sd300b_roll_self_00001064_02,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001064,3,,sd300b_roll_self_00001064_03,,,accepted,,ok,,3002.0,,,,,,,3002,3002,3002,3002,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001064,4,,sd300b_roll_self_00001064_04,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001083,1,,sd300b_roll_self_00001083_01,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001083,6,,sd300b_roll_self_00001083_06,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001090,1,,sd300b_roll_self_00001090_01,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001090,6,,sd300b_roll_self_00001090_06,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001090,10,,sd300b_roll_self_00001090_10,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001142,2,,sd300b_roll_self_00001142_02,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001160,1,,sd300b_roll_self_00001160_01,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300b,00001160,6,,sd300b_roll_self_00001160_06,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
